artigoEmPeriodico	Aloísio José Bueno Cotta	2023	2447-5580		Diagnóstico inicial do aprendizado em projeto de iniciação científica júnior sobre educação ambiental	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	COTTA, A. J. B.; FRANCELINO, N. A. ; MARTINS, B. M.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2023	0301-4797		Oily wastewater treatment by a continuous flow electrocoagulation reactor with polarity switch: Assessment of the relation between process variables and the aluminum released to the environment	JOURNAL OF ENVIRONMENTAL MANAGEMENT	NASCIMENTO, B. Z. ; MUNIZ, E. P. ; COTTA, A. J. B. ; OLIVEIRA, F. D. C. ; PORTO, P. S. S.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2021	2447-5580	http://dx.doi.org/10.47456/bjpe.v6i9.34007	Revisão de estudos sobre a recuperação de amônia via precipitação de estruvita	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	RODRIGUES, L. M. N. ; BAZONI, R. F. ; COTTA, A. J. B.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2021	1387-585X	http://dx.doi.org/10.1007/s10668-021-01435-8	Hydrogeochemical characterization and suitability of water for irrigation in new and old reservoirs in northern Espirito Santo, Brazil	ENVIRONMENT, DEVELOPMENT AND SUSTAINABILITY	Favero, D. ; COTTA, A. J. B. ; BONOMO, R. ; RODRIGUES, M. B.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2021	1807-9806	http://dx.doi.org/10.22456/1807-9806.107238	Impactos, extensão e proposta de mitigação da intrusão salina no Rio São Mateus	PESQUISAS EM GEOCIÊNCIAS (ONLINE)	COTTA, A. J. B.; DE JESUS, HONERIO C.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2020	2447-5580		Extração e análise cromatográfica do nematicida Cadusafós	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	Cotta, Aloísio J.B.; PEREIRA, M. M. ; SANTOS, M. D. R. ; GOMES, E. G. ; CAMPOS, D. J. ; SILVA, M. B.		
artigoEmPeriodico	Aloísio José Bueno Cotta	2020	0045-6535	http://dx.doi.org/10.1016/j.chemosphere.2020.127033	Does Canavalia ensiformis inoculation with Bradyrhizobium sp. enhance phytoremediation of sulfentrazone-contaminated soil?	CHEMOSPHERE	MIELKE, KAMILA CABRAL ; BERTUANI, RAFAELA RAMOS ; PIRES, FÁBIO RIBEIRO ; BUENO COTTA, ALOÍSIO JOSÉ ; EGREJA FILHO, FERNANDO BARBOZA ; MADALÃO, JOÃO CARLOS		
artigoEmPeriodico	Aloísio José Bueno Cotta	2020	1387-585X	http://dx.doi.org/10.1007/s10668-020-01074-5	Characteristics and impacts on the groundwater of the Guriri beach resort, São Mateus, ES, Brazil	ENVIRONMENT, DEVELOPMENT AND SUSTAINABILITY	COTTA, ALOÍSIO JOSÉ BUENO; FACHETTI, PRISCILA SILVESTRE ; DE ANDRADE, RENATO PEREIRA		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2024	http://dx.doi.org/10.22533/at.ed.3792113106	Precipitação da estruvita em um reator air-lift: Um estudo sobre a competição entre potássio e amônio	41º Congresso Brasileiro de Sistemas Particulados	BENTO, N. A. B. ; COTTA, A. J. B. ; PORTO, P. S. S.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2024		Aprendendo sobre a Compostagem em Garrafa PET	III Congresso Latino-americano de Desenvolvimento Sustentável	COTTA, A. J. B.; RIBEIRO, J. V. O. ; NASCIMENTO, P. E. S. ; ANDRADE, R. P. ; ANCESCHI, M. B.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2024		Importância da alimentação saudável: Uma atividade com alunos do ensino fundamental	Jornada Internacional de Iniciação Científica e Extensão Universitária ? JIICEU 2024	RIBEIRO, J. V. O. ; NASCIMENTO, P. E. S. ; ANCESCHI, M. B. ; COTTA, A. J. B. ; FRANCELINO, N. A.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2024		Teste do cleanup para dosagem de antraquinona em pimenta-do-reino por CG-MS	Jornada Internacional de Iniciação Científica e Extensão Universitária ? JIICEU 2024	SANTOS, A. C. C. O. ; MARRE, G. O. ; COTTA, A. J. B. ; SILVA, M. B.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2024		Testes de cleanup e recuperação para determinação de carbendazim em mamão por HPLC-QMS	Jornada Internacional de Iniciação Científica e Extensão Universitária ? JIICEU 2024	CAVILHA, G. R. ; ALVES, J. O. ; ANCESCHI, M. B. ; COTTA, A. J. B.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2022		Níveis de cloro ativo liberados por clorador caseiro para caixa d'água	35º Congresso Latinoamericano de Química e 61º Congresso Brasileiro de Química	Cotta, Aloísio J.B.; DE ANDRADE, RENATO P. ; MENEZES, E. S. ; PIROLA, B. S. ; LIVRAMENTO, J. L. ; SOUZA, J. P. B. ; SOUZA, M. D. L. ; BRAVO, I. D. N.		
trabalhoCompletoEmCongresso	Aloísio José Bueno Cotta	2021		Avaliação de construção de barragem para o abastecimento público de São Mateus-ES	CONGRESSO TECNOLÓGICO BRASILEIRO ÁGUA E ENERGIA ONL	COTTA, A. J. B.; ANDRADE, R. P.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	1984-0187	http://dx.doi.org/10.5212/OlharProfr.v.27.22178.002	Metodologias ativas no ensino de química: o olhar dos professores sobre os desafios antes, durante e após o ensino remoto	Olhar de Profesor	SANTOS, J. V. S. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44541	?2 ou 3d ? você em ação?: construção, validação e aplicação de um jogo didático para o ensino de geometria molecular	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	ARAUJO, L. C. L. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44539	As contribuições do jogo fancubos para o processo de ensino-aprendizagem de ciências no 5º ano do ensino fundamental	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	PEREIRA, L. Q. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44571	Reações químicas para alunos do 6º ano do ensino fundamental: uma abordagem a partir do uso do stop motion	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	SILVA, F. S. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44495	Proposta didática para o ensino da tabela periódica para os alunos do 9° ano do ensino fundamental	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	PANDOLFI, T. V. T. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44459	A perspectiva dos licenciandos de química sobre a extensão universitária: contribuições para a formação docente	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	AMORIM, A. S. ; MEIRELES, C. S. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44526	Elaboração do jogo ?banco da química?: uma ação de intervenção didática do PIBID de licenciatura em química da UFES/CEUNES	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	SCARDINI, F. J. ; BRAGA, G. P. P. H. ; MENDES, A. N. F. ; MENDES, A. N. F. ; BARBOSA, L. T.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44566	Proposta digital para o ensino de química: o instagram como ferramenta de apoio para a educação básica	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	ANOIR, J. Q. ; MENDES, A. N. F. ; MENDES, A. N. F. ; BARBOSA, L. T.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2024	2526-2688	http://dx.doi.org/10.47456/krkr.v1i17.44491	Oficina experimental para estudantes do 5º ano do ensino fundamental: possibilidades de incentivo à alfabetização científica por meio do uso de kit experimental	REVISTA KIRI-KERÊ - PESQUISA EM ENSINO	AMORIM, A. S. ; MEIRELES, C. S. ; MENDES, A. N. F. ; MENDES, A. N. F. ; ANDRADE, G. R. S.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2527-0915		A construção dialética do conhecimento científico interdisciplinar da temática ?solos? no Ensino de Química e Geografia	Revista Educação Química en Punto de Vista (EQPV)	SIVICO, M. J. ; GOMES, R. V. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2359-0424		Ampliando discussões sobre a interdisciplinaridade na história da ciência a partir de reflexões tecidas na formação de futuros professores de química	SUSTINERE: REVISTA DE SAÚDE E EDUCAÇÃO	GOMES, R. V. ; SIVICO, M. J. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2447-6099		OBJETO DIGITAL DE APRENDIZAGEM DE QUÍMICA: UMA PROPOSTA DE APRENDIZAGEM ATIVA	REVISTA DEBATES EM ENSINO DE QUÍMICA	PONTARA, A. B. ; AMARAL, C. L. C. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2447-5580		Contextualização do ensino de química: conscientização e segurança no trânsito a partir de uma abordagem educacional utilizando o teste do bafômetro	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	SILVA, F. S. ; VIANA, J. P. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2447-5580		Artefato pedagógico para o ensino da temática ?energia solar?: possibilidades com o uso de materiais recicláveis	BRAZILIAN JOURNAL OF PRODUCTION ENGINEERING	SCABELO, L. G. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2965-3479		IMPACTOS  E  DESAFIOS  FRENTE  À  PANDEMIA  DA  COVID-19  NA  FORMAÇÃO  INICIAL  DOS  LICENCIANDOS  EM  QUÍMICA  VINCULADOS AO PIBID DA UFES/CEUNES	Revista Interdisciplinar de Ensino, Pesquisa e Extensão	SOUZA, L. C. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2023	2178-7727		The Reflexes of Teaching Practice in Chemistry Teaching: Searching for Interdisciplinary Dialogues	REVISTA ACTA SCIENTIAE	SIVICO, M. J. ; GOMES, R. V. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2022	1982-2413		ESTUDANDO ISOMERIA DE MANEIRA LÚDICA: ISOMERICARD, UM JOGO DE CARTAS INCLUSIVO	EXPERIÊNCIAS EM ENSINO DE CIÊNCIAS (UFRGS)	PONTARA, A. B. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2022	2179-426X	http://dx.doi.org/10.26843/rencima.v13n6a21	The History of Science in an interdisciplinary approach in the curriculum: broadening horizons for building and mediating learning from the nature of scientific knowledge	Revista de Ensino de Ciências e Matemática (REnCiMa)	GOMES, RODRIGO DA VITÓRIA ; SIVICO, MAYKI JARDIM ; Mendes, Ana Nery Furlan		
artigoEmPeriodico	Ana Nery Furlan Mendes	2021	2318-6674	http://dx.doi.org/10.26571/reamec.v9i2.11874	Avaliação do tema gerador solos como proposta interdisciplinar no ensino de química	REVISTA REAMEC	SIVICO, M. J. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2021	2525-8761	http://dx.doi.org/10.34117/bjdv7n4-418	Uso do Power Point como ferramenta para o desenvolvimento de jogos visando contribuir com o ensino de eletroquímica na educação básica/ The use of Power Point as a tool for the development of games to contribute to the teaching of electrochemistry in basic education	Brazilian Journal of Development	SCHETTINO, M. E. P. G. O. ; MENDES, A. N. F. ; MENDES, A. N. F.		
artigoEmPeriodico	Ana Nery Furlan Mendes	2021	2525-3409	http://dx.doi.org/10.33448/rsd-v10i6.15574	Produção e desenvolvimento de jogos didáticos no ensino de Química: Caminhos alternativos adotados com relação a Educação Inclusiva	RESEARCH, SOCIETY AND DEVELOPMENT	GOMES, RODRIGO DA VITÓRIA ; SIVICO, MAYKI JARDIM ; VENTURA, LORENA ALVES ; Mendes, Ana Nery Furlan		
